year,calendar_year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,scenario,code,max_inflation,cumulative_mvi_real,consumption_score,min_p10,max_coverage_gap
50,2077,0.39844358301,2.72828731106,2.72828731106,2.72828731106,6.61346134064,2.42403405017,0.0204685276056,0.388747080155,0.769172341675,0.229961089575,7.67911087259,0,0,0,0,0.218380761694,0,0,0.0323616463335,0.0882918690567,0.0295681311329,0.0295681311329,0,0.0436076984021,0.707616554148,1.41319475094,0,0,0.283597047809,0.218380761694,0.247948892827,0.215587246494,0.460230143371,0.755217438975,0.677571928335,0.234587920939,0.84413308318,0.675386350379,0.0658154000316,0.818680476773,0.000662395251339,0,1,10.0096708057,1,0,-1.34298572858e-16,6.7149286429e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0,0.0204793054887,1.86928638881,-12.4638272545,0.246722080779,0.00130493371084
50,2077,0.39844358301,2.72835383992,2.72835383992,2.72835383992,6.68747036154,2.45110082999,0.0206125148561,0.388747080155,0.769172341675,0.229961089575,7.67955607119,0,0,0,0,0.332232492153,0,0,0.145549472633,0.397110462556,0.0288738120853,0.0288738120853,0,0.0435523512268,0.691841740842,1.44541726954,0,0,0.431448966612,0.332232492153,0.361106304239,0.215556831606,0.398543994123,0.744025317453,0.666710207112,0.230307129571,1.0670468976,0.673903014672,0.155754116414,1.02870493055,0.00293717637928,0,1,10.0121598236,1,0,-6.64061574618e-17,3.32030787309e-17,1.33226762955e-15,0,B2: universal transfer + residual tax,ok,slow,B2,0.0206791241108,9.89520359855,-11.216493033,0.250848098257,0.00395577529502
50,2077,0.39844358301,2.72361537107,2.72361537107,2.72361537107,6.65248162331,2.44251875429,0.020405753326,0.388747080155,0.769172341675,0.227585992247,7.64152207836,0.0276824415558,0.0276824415558,0.0107848214666,0,0.327430861514,0.0107848214666,0.0277717307258,0.140724036346,0.38327814847,0.028893684024,0.028893684024,0,0.0433364194165,0.695623524952,1.43755920283,0,0,0.423905908266,0.327430861514,0.356324545538,0.215600509192,0.39697155399,0.727401303461,0.652688531043,0.22479814903,1.07475919713,0.673082763414,0.159856484677,1.0360322609,0.00291693400361,0,0.972317558444,9.9873231763,1,0,2.00266262274e-16,6.67554207581e-17,4.4408920985e-16,0,B5: usownership + residual tax,ok,slow,B5,0.0206484401981,9.82679987797,-11.2101137693,0.250848098257,0.00395577529502
50,2077,0.39844358301,2.72362461546,2.72362461546,2.72362461546,6.65549417972,2.44361654757,0.0204105361026,0.388747080155,0.769172341675,0.227585992247,7.64158376434,0.0276824415558,0.0276824415558,0.0107848214666,0,0.313457688976,0.0107848214666,0.0277974430496,0.137450482882,0.374363518585,0.0395922925551,0.0263650011125,0.0132272914425,0.0431974234999,0.636702354048,1.57059259109,0.0401080532143,0.0216720988465,0.405815645275,0.313457688976,0.353049981531,0.215599498649,0.402091246808,0.731436613809,0.656622410366,0.226452340596,1.08756873104,0.673265193754,0.161741655727,1.03794708205,0.00301968975592,0,0.972317558444,9.98769633183,1,0,2.25197565015e-16,3.33626022244e-17,0,0,B6: SSM hybrid,ok,slow,B6,0.0206462054467,9.50976259446,-11.1552262426,0.252012304038,0.00414065212664
50,2077,0.39844358301,2.72361537107,2.72361537107,2.72361537107,6.65067115189,2.44185402335,0.0203145910171,0.388747080155,0.769172341675,0.227585992247,7.64152207836,0.0276824415558,0.0276824415558,0.0107848214666,0,0.324228053241,0.0107848214666,0.0293737055207,0.137543598223,0.374615858311,0.0289353174883,0.0289353174883,0,0.0433834854948,0.695901495015,1.4369849859,0,0,0.419759416565,0.324228053241,0.353163370729,0.215619772506,0.398606656719,0.725458799266,0.652019662168,0.224642879715,1.07343573077,0.673293674817,0.158228975921,1.03202919569,0.00297511826739,0,0.972317558444,9.9873231763,1,0,0,3.33867965885e-17,1.11022302463e-15,0,B7: equal citizen-equity comparator,ok,slow,B7,0.0206484401981,9.79039521981,-11.2117916213,0.250848098257,0.00395577529502
50,2077,0.39844358301,2.72834426955,2.72834426955,2.72834426955,6.67185930913,2.4453876234,0.0205238426189,0.388747080155,0.769172341675,0.229961089575,7.67949202706,0,0,0,0,0.301484723475,0,0,0.115014878473,0.313800184595,0.0291057161093,0.0291057161093,0,0.0436922351931,0.695258774671,1.43831338263,0,0,0.393040931727,0.301484723475,0.330590439584,0.215575561111,0.377491463384,0.73677450682,0.657248092389,0.226054400232,1.15216616995,0.675645681784,0.187102333257,1.10648542297,0.00387647916366,0,1,10.0117983669,1,0,-6.6561536938e-17,0,1.33226762955e-15,0,B10: capital-tilted tax and universal transfer,ok,slow,B10,0.0205972516193,7.87575672064,-10.5338626756,0.249313477946,0.00456464869723
50,2077,0.39844358301,2.72361537107,2.72361537107,2.72361537107,6.65248162331,2.44251875429,0.020405753326,0.388747080155,0.769172341675,0.227585992247,7.64152207836,0,0.0276824415558,0.0107848214666,0.0107848214666,0.338215682981,0,0.0277717307258,0.140724036346,0.38327814847,0.028893684024,0.028893684024,0,0.0433364194165,0.695623524952,1.43755920283,0,0,0.423905908266,0.327430861514,0.356324545538,0.215600509192,0.39697155399,0.74322675592,0.66584103469,0.229955896212,1.07475919713,0.673082763414,0.159856484677,1.0360322609,0.00291693400361,0,1,9.9873231763,1,0,2.00266262274e-16,6.67554207581e-17,4.4408920985e-16,0,B11: matched dividend levy,ok,slow,B11,0.0206484401981,9.82679987797,-11.2101137693,0.250848098257,0.00395577529502
50,2077,0.39844358301,2.72362461546,2.72362461546,2.72362461546,6.65549417972,2.44361654757,0.0204105361026,0.388747080155,0.769172341675,0.227585992247,7.64158376434,0,0.0276824415558,0.0107848214666,0.0107848214666,0.324242510443,0,0.0277974430496,0.137450482882,0.374363518585,0.0395922925551,0.0263650011125,0.0132272914425,0.0431974234999,0.636702354048,1.57059259109,0.0401080532143,0.0216720988465,0.405815645275,0.313457688976,0.353049981531,0.215599498649,0.402091246808,0.747560482164,0.670001707619,0.231699164347,1.08756873104,0.673265193754,0.161741655727,1.03794708205,0.00301968975592,0,1,9.98769633183,1,0,2.25197565015e-16,3.33626022244e-17,0,0,B12: matched levy and monetary hybrid,ok,slow,B12,0.0206462054467,9.50976259446,-11.1552262426,0.252012304038,0.00414065212664
50,2077,0.39844358301,2.72354992443,2.72354992443,2.72354992443,6.59404581238,2.42112169608,0.0202478500447,0.388747080155,0.769172341675,0.227585992247,7.64108537491,0.0276824415558,0.0276824415558,0.0107848214666,0,0.203139687943,0.0107848214666,0.0276246604192,0.028527515687,0.0776961131935,0.0410217053264,0.0268204519036,0.0142012534229,0.0432375842268,0.64712457812,1.54529751119,0.0400725747444,0.0228940173419,0.262993272913,0.203139687943,0.244161393269,0.215633877582,0.46101115548,0.741655015061,0.666325317318,0.230229189967,0.884250450706,0.674734286996,0.0785358745175,0.851130272166,0.000921064634774,0,0.972317558444,9.9848970678,1,0,8.41837512366e-17,-3.36735004947e-17,1.11022302463e-15,0,B13: usownership and targeted income protection,ok,slow,B13,0.0203930836891,1.75474428615,-12.3173500674,0.246576069668,0.00272815596661
50,2077,0.80173479641,6.48099859857,6.48099859857,6.65063417207,16.0486126946,2.47625615875,0.0201282358168,0.195167297723,0.535536338032,0.24004336991,16.7402151517,0,0,0,0,0.250118697084,0,0,0.0707360004124,0.458439919541,0.0362764648691,0.0362764648691,0,0.0555167483442,0.689709274806,1.44988625864,0,0,0.329122330381,0.250118697084,0.286395161953,0.21565916154,0.51243250778,0.768232421501,0.697948029192,0.243997544477,1.61280626261,1.59763483478,0.792728829399,1.54411395978,0.00142379089704,0,1,26.7485955298,1.02617429566,0,-1.106860059e-16,-2.76715014751e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,medium,B0,0.0213022866675,8.05304690237,-5.46077046691,0.248194080922,0.00142379089704
