scenario,code,horizon,calendar_horizon,completed,last_year,status,max_inflation,peak_mvi,peak_mvi_year,mean_tax_gdp,max_accounting_error,max_equity_error,real_gdp,nominal_gdp,inflation,usownership_share,mvi_gdp,tax_gdp,gini_wealth,gini_income,top10_wealth,top1_wealth,median_income,median_use_dividend,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_gdp,velocity,coverage_shortfall,labour_share,ordinary_discounted_dividends
slow,B0,10,2037,True,10,ok,0.0197706187626,0.0186868766226,1,0.203813774159,3.27380337948e-16,1.33226762955e-15,1.1749847947,1.27396147704,0.0197706187626,0,0.0163535400237,0.209487309715,0.737638876949,0.391313163534,0.655274457321,0.224719305492,0.471712102839,0,0.0226010200274,0.0226010200274,0,0.731415492543,1.36721194751,0.000323319605227,0.567067687542,1.89864870552
slow,B0,25,2052,True,25,ok,0.0202595296415,0.0186868766226,1,0.205361732722,3.27380337948e-16,1.33226762955e-15,1.55939050564,2.2807451704,0.0202595296415,0,0.0186787915876,0.206212693228,0.741919345116,0.409956549639,0.660426650251,0.226971421339,0.606157871473,0,0.0280975074353,0.0280975074353,0,0.717371792901,1.39397730702,0.000378423531836,0.523486082948,4.67126652894
slow,B0,50,2077,True,50,ok,0.0204793054887,0.0323616463335,50,0.208239099588,4.18278738484e-16,1.33226762955e-15,2.72828731106,6.61346134064,0.0204685276056,0,0.0323616463335,0.218380761694,0.755217438975,0.460230143371,0.677571928335,0.234587920939,0.84413308318,0,0.0295681311329,0.0295681311329,0,0.707616554148,1.41319475094,0.00066239525134,0.388747080155,10.0096708057
slow,B0,100,2127,True,100,ok,0.0204793054887,0.0475118900033,100,0.219820013092,4.18278738484e-16,1.33226762955e-15,7.34618566051,48.3693562346,0.0200243449384,0,0.0475118900033,0.23748975541,0.766561608039,0.485252895668,0.691748627444,0.240923203434,1.83996974312,0,0.0257032613156,0.0257032613156,0,0.700789765214,1.42696147923,0.0009513944741,0.30003873165,21.0659533014
slow,B1,10,2037,True,10,ok,0.0197676344549,0,1,0.186994624257,4.54955942214e-16,1.33226762955e-15,1.17474702652,1.2690085034,0.0197676344549,0,0,0.193038520968,0.74011587874,0.427141605991,0.655406513726,0.224566305087,0.48523017873,0,0.0226969000896,0.0226969000896,0,0.742862532673,1.34614407918,0.0155749653966,0.567067687542,1.89632429035
slow,B1,25,2052,True,25,ok,0.0201028742193,0,1,0.188029862932,4.54955942214e-16,1.33226762955e-15,1.55923359286,2.2693213696,0.0201028742193,0,0,0.187043728454,0.744976687275,0.450852599864,0.66074105241,0.22690916947,0.626449639518,0,0.0286207947623,0.0286207947623,0,0.729355917447,1.37107271783,0.017605930382,0.523486082948,4.66854735412
slow,B1,50,2077,True,50,ok,0.0201244025137,0,1,0.186825113502,4.54955942214e-16,1.33226762955e-15,2.7282067266,6.5324031999,0.020088082336,0,0,0.185226830898,0.761881985135,0.531040608482,0.679501017514,0.235043535399,0.89483794243,0,0.0304408195822,0.0304408195822,0,0.726757007947,1.37597572375,0.0294261373356,0.388747080155,10.0066550025
slow,B1,100,2127,True,100,ok,0.0201244025137,0,1,0.187151059588,4.54955942214e-16,1.33226762955e-15,7.34616706204,47.3950290242,0.019999596539,0,0,0.189058416679,0.777183801018,0.588889712616,0.696023472553,0.242197153523,2.00876048032,0,0.0266279431458,0.0266279431458,0,0.726060826412,1.37729507449,0.0420873378212,0.30003873165,21.0628140483
slow,B2,10,2037,True,10,ok,0.019764604902,0.116386863091,1,0.286541598992,3.50533917048e-16,1.33226762955e-15,1.17518107724,1.28204452157,0.019764604902,0,0.0988110600993,0.291913370837,0.731703655372,0.355144714963,0.650893824328,0.22320924691,0.519668204992,0,0.022633751234,0.022633751234,0,0.718706629794,1.39138830581,0.00382553677851,0.567067687542,1.90056694697
slow,B2,25,2052,True,25,ok,0.0204530083907,0.116386863091,1,0.290119321416,3.50533917048e-16,1.33226762955e-15,1.55952004581,2.29702203184,0.0200219308458,0,0.10585854002,0.293668524223,0.734932095703,0.369856630785,0.654836468817,0.224940482417,0.678422933138,0,0.0278716529734,0.0278716529734,0,0.705137841469,1.41816243746,0.00388268679656,0.523486082948,4.67351065991
slow,B2,50,2077,True,50,ok,0.0206791241108,0.145549472633,50,0.30140105707,6.1903989484e-16,1.33226762955e-15,2.72835383992,6.68747036154,0.0206125148561,0,0.145549472633,0.332232492153,0.744025317453,0.398543994123,0.666710207112,0.230307129571,1.0670468976,0,0.0288738120853,0.0288738120853,0,0.691841740842,1.44541726954,0.00293717637928,0.388747080155,10.0121598236
slow,B2,100,2127,True,100,ok,0.0206791241108,0.168918330885,100,0.326855943746,6.1903989484e-16,1.33226762955e-15,7.3462010152,48.9487454053,0.0200209781476,0,0.168918330885,0.359481361573,0.753872502605,0.415847546695,0.677893464554,0.235234572934,2.65570821053,0,0.0251188079346,0.0251188079346,0,0.684867728416,1.46013596277,0.00244702022895,0.30003873165,21.0685442376
slow,B3,10,2037,True,10,ok,0.118058886979,0.0816911105308,1,0.233900525605,3.67587238311e-16,1.33226762955e-15,1.17587929716,2.41986938796,0.0886761868364,0,0.0762120604535,0.233797932618,0.750097608981,0.374783205278,0.66930184606,0.231019660961,0.541547773078,0,0.0444944182472,0.0444944182472,0,0.537233375516,1.86138844974,0.00477522660853,0.567067687542,1.90754405316
slow,B3,25,2052,True,25,ok,0.118058886979,0.0836629883325,22,0.233649273782,3.67587238311e-16,1.33226762955e-15,1.55998088842,9.87383562896,0.0881592102139,0,0.0828809462429,0.233116970046,0.751347445735,0.391238902596,0.671042667439,0.231816323773,0.707100587395,0,0.0519402735024,0.0519402735024,0,0.544693929056,1.83589341951,0.00491594261338,0.523486082948,4.68164707993
slow,B3,50,2077,True,50,ok,0.166529710389,0.107236265434,50,0.232851370645,3.9076537962e-16,1.33226762955e-15,2.72859053238,303.03693022,0.166529710389,0,0.107236265434,0.231011673127,0.770053020427,0.442923592116,0.691069121987,0.240473704403,1.11750111532,0,0.064818160083,0.064818160083,0,0.432449628152,2.31240804686,0.00528509723212,0.388747080155,10.0211674637
slow,B3,100,2127,True,100,ok,0.253212027795,0.117653495729,100,0.231421174696,4.19605826016e-16,1.33226762955e-15,7.34625564446,24727788.1799,0.253212027795,0,0.117653495729,0.229625605182,0.788815864671,0.482859723335,0.709861705539,0.248217672914,2.73170880061,0,0.0635767961759,0.0635767961759,0,0.295737557382,3.38137640972,0.00678697087835,0.30003873165,21.0779144807
slow,B4,10,2037,True,10,ok,0.0820825818555,0.0790479129945,10,0.233900525605,3.24844995733e-16,1.33226762955e-15,1.17587929716,2.14851642631,0.0496198093337,0,0.0790479129945,0.233797932618,0.748612166272,0.37308152416,0.66806422072,0.230520623243,0.544882393371,0,0.0548496830915,0.0423675837308,0.0124820993608,0.542031262065,1.84491203734,0.00447069974115,0.567067687542,1.90754405316
slow,B4,25,2052,True,25,ok,0.0820825818555,0.0855761199634,22,0.233649273782,3.24844995733e-16,1.33226762955e-15,1.55998088842,7.37610645526,0.0678829857267,0,0.0844546323997,0.233116970046,0.752370955304,0.390259123953,0.672274644703,0.232356823392,0.709555507724,0,0.0573527435381,0.0443808145376,0.0129719290005,0.524105954765,1.90801113956,0.00474077879576,0.523486082948,4.68164707993
slow,B4,50,2077,True,50,ok,0.158874488839,0.107944640135,50,0.232851370645,3.82299618155e-16,1.33226762955e-15,2.72859053238,178.21529564,0.158874488839,0,0.107944640135,0.231011673127,0.773594241994,0.44243863152,0.69464343079,0.24187042055,1.11943397982,0,0.0667723345308,0.0546298770909,0.0121424574399,0.384169237411,2.60301945762,0.00519300852092,0.388747080155,10.0211674637
