sample,code,dilution_cap,liquidity_elasticity,money_gdp,income_floor,speed,midpoint,ai_gain,resource_growth,excluded_fraction,dilution_investment_penalty,terminal_year,calendar_terminal_year,status,sunset,price_band,mvi_gdp,gini_wealth,real_gdp,tax_gdp,usownership_share,coverage_shortfall,max_inflation,max_accounting_error
0,B2,0.0385309828607,1.75585622674,0.474921391818,0.370970140241,0.184312313311,21.2690339982,1.09821131849,0.0287686988004,0.0659882673837,1.95344553498,50,2077,ok,False,True,0.33003328432,0.783661843891,4.78641681652,0.52209370082,0,0.00202168037481,0.0221100387953,4.87904925371e-16
0,B5,0.0385309828607,1.75585622674,0.474921391818,0.370970140241,0.184312313311,21.2690339982,1.09821131849,0.0287686988004,0.0659882673837,1.95344553498,50,2077,ok,False,True,0.198749229619,0.487936419323,4.78641681652,0.388028238468,0.498657386579,0.00935077984071,0.0213017437488,3.63798475607e-16
0,B6,0.0385309828607,1.75585622674,0.474921391818,0.370970140241,0.184312313311,21.2690339982,1.09821131849,0.0287686988004,0.0659882673837,1.95344553498,50,2077,ok,False,True,0.193134190709,0.488615129065,4.78641681652,0.373208605204,0.498657386579,0.0097113353541,0.0213169984073,4.3479037679e-16
1,B2,0.023289816678,7.12717249128,0.559745758425,0.188565443055,0.121176733976,20.351366307,1.36950593453,0.0479818656707,0.117319883521,1.6029858911,50,2077,ok,False,True,0.117403722562,0.804103582938,11.6524361853,0.300412129543,0,0.0026329529674,0.0216053695673,3.75477628028e-16
1,B5,0.023289816678,7.12717249128,0.559745758425,0.188565443055,0.121176733976,20.351366307,1.36950593453,0.0479818656707,0.117319883521,1.6029858911,50,2077,ok,False,True,0.0493368269394,0.627102755344,11.1021241883,0.23219672014,0.317636746261,0.00834667367291,0.0212558329363,3.88930583844e-16
1,B6,0.023289816678,7.12717249128,0.559745758425,0.188565443055,0.121176733976,20.351366307,1.36950593453,0.0479818656707,0.117319883521,1.6029858911,50,2077,ok,False,True,0.0469087020608,0.628221584298,11.1021301263,0.222327515629,0.317636746261,0.00849032017563,0.021256917481,3.92963186988e-16
2,B2,0.0393231800339,8.91740648636,0.769637532777,0.207366540323,0.111207447166,16.8146516759,1.41559848756,0.0549021249242,0.239686559391,0.37728779463,50,2077,ok,False,True,0.137364410795,0.787664009382,12.7492917944,0.310211320374,0,0.00262223995352,0.021530479282,4.84605162741e-16
2,B5,0.0393231800339,8.91740648636,0.769637532777,0.207366540323,0.111207447166,16.8146516759,1.41559848756,0.0549021249242,0.239686559391,0.37728779463,50,2077,ok,False,True,0.147201761681,0.539829933166,12.4539371302,0.320764235768,0.5014841951,0.00202583473909,0.0211655659151,4.81240854815e-16
2,B6,0.0393231800339,8.91740648636,0.769637532777,0.207366540323,0.111207447166,16.8146516759,1.41559848756,0.0549021249242,0.239686559391,0.37728779463,50,2077,ok,False,True,0.146095256271,0.541939488104,12.4538737353,0.311851813889,0.5014841951,0.00207950572476,0.0212295759385,4.90995679443e-16
3,B2,0.0195635402175,8.43653930899,0.360249644819,0.253275491595,0.136240870061,23.1925143049,1.20377537777,0.0161001396651,0.161209767786,1.55632005201,50,2077,ok,False,True,0.195191723431,0.819235649016,2.58199846305,0.396845804281,0,0.0023017455971,0.0215629734205,5.42292127233e-16
3,B5,0.0195635402175,8.43653930899,0.360249644819,0.253275491595,0.136240870061,23.1925143049,1.20377537777,0.0161001396651,0.161209767786,1.55632005201,50,2077,ok,False,True,0.183166243298,0.660689717455,2.58199846305,0.384534098713,0.259046844395,0.00334704730469,0.0213737318291,5.42292127233e-16
3,B6,0.0195635402175,8.43653930899,0.360249644819,0.253275491595,0.136240870061,23.1925143049,1.20377537777,0.0161001396651,0.161209767786,1.55632005201,50,2077,ok,False,True,0.182327806745,0.66344138857,2.58199846305,0.379403548957,0.259046844395,0.00338321037749,0.0213739977475,5.02986028876e-16
4,B2,0.0283114208799,3.70216968715,0.964397633409,0.238976754809,0.138458722217,11.4928710993,1.47356443588,0.0226147113589,0.0687853841741,0.587952198064,50,2077,ok,False,True,0.175782342766,0.77774544204,3.54616199852,0.347013134391,0,0.00245552989365,0.0217137284678,5.32879370482e-16
4,B5,0.0283114208799,3.70216968715,0.964397633409,0.238976754809,0.138458722217,11.4928710993,1.47356443588,0.0226147113589,0.0687853841741,0.587952198064,50,2077,ok,False,True,0.0234034135393,0.531750656422,3.54616199852,0.193472870606,0.472966929742,0.0120316241946,0.0212047202034,6.47465264125e-16
4,B6,0.0283114208799,3.70216968715,0.964397633409,0.238976754809,0.138458722217,11.4928710993,1.47356443588,0.0226147113589,0.0687853841741,0.587952198064,50,2077,ok,False,True,0.0119926381395,0.53115564626,3.54616199852,0.161544562624,0.472966929742,0.0127490467658,0.0214449954094,5.30178978651e-16
5,B2,0.0246044725125,5.69403437069,0.853615757042,0.258248461625,0.193583504825,31.82922203,1.44096763409,0.0493988456518,0.158843380988,1.91270156961,50,2077,ok,False,True,0.193242407851,0.758888045476,11.6734222965,0.351889232911,0,0.00253603170946,0.02199006103,4.76980286453e-16
