year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,experiment,code,max_inflation
50,0.80173479641,6.48099859857,6.48099859857,6.65063417207,16.0486126946,2.47625615875,0.0201282358168,0.195167297723,0.535536338032,0.24004336991,16.7402151517,0,0,0,0,0.250118697084,0,0,0.0707360004124,0.458439919541,0.0362764648691,0.0362764648691,0,0.0555167483442,0.689709274806,1.44988625864,0,0,0.329122330381,0.250118697084,0.286395161953,0.21565916154,0.51243250778,0.768232421501,0.697948029192,0.243997544477,1.61280626261,1.59763483478,0.792728829399,1.54411395978,0.00142379089704,0,1,26.7485955298,1.02617429566,0,-1.106860059e-16,-2.76715014751e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,central,B0,0.0213022866675
50,0.80173479641,6.48099859857,6.48099859857,6.65067501381,16.215309252,2.50197697244,0.0201187310913,0.195167297723,0.535536338032,0.24004336991,16.7404483395,0,0,0,0,0.370401464583,0,0,0.190278127991,1.23319228085,0.0355378343038,0.0355378343038,0,0.0555335393873,0.67547245212,1.4804452748,0,0,0.487398161838,0.370401464583,0.405939298886,0.215661170896,0.444891132662,0.753777717856,0.679899634683,0.236212051161,2.18294542432,1.59543938576,0.928054853979,2.0744089268,0.00214069725563,0,1,26.7512370779,1.02618059743,0,-1.09548132064e-16,-2.7387033016e-17,1.33226762955e-15,0,B2: universal transfer + residual tax,ok,central,B2,0.0216735344638
50,0.80173479641,6.48099859857,6.48099859857,6.56405484648,16.0062183877,2.46971483549,0.0202589559027,0.195167297723,0.535536338032,0.231215613168,16.1974001761,0.296692477446,0.296692477446,0.171411001583,0,0.285329182097,0.171411001583,1.05784265739,0.105694037906,0.685002911549,0.0359963861447,0.0359963861447,0,0.0553173129071,0.686721886952,1.4561935756,0,0,0.37114331012,0.285329182097,0.321325568242,0.215631530336,0.419788065213,0.583237114048,0.533433223246,0.177655537015,2.3917945521,1.60637220586,0.982151649917,2.25342306865,0.00291527932206,0,0.703307522554,23.6150236181,1.0128153473,0,5.54895852466e-17,1.6646875574e-16,6.66133814775e-16,0,B5: usownership + residual tax,ok,central,B5,0.0212451432752
50,0.80173479641,6.48099859857,6.48099859857,6.56406064482,16.0123742163,2.47066466267,0.0202719952786,0.195167297723,0.535536338032,0.231215613168,16.1974326399,0.296692477446,0.296692477446,0.171411001583,0,0.271269050237,0.171411001583,1.0585189685,0.101641134962,0.658736053246,0.0460008592262,0.0328913461678,0.0131095130584,0.0552989918265,0.627682409827,1.59316237693,0.0400514702954,0.0220405346674,0.352854525773,0.271269050237,0.317269909463,0.215628774501,0.424776937224,0.584163131483,0.5345054497,0.178091319844,2.41526495339,1.60689575548,0.984621262426,2.2625632195,0.00302078031452,0,0.703307522554,23.6154166158,1.01281624197,0,-1.45604163394e-16,-5.54682527215e-17,9.99200722163e-16,0,B6: SSM hybrid,ok,central,B6,0.0212580624138
50,0.80173479641,6.48099859857,6.48099859857,6.6506698423,16.1898032229,2.49804146331,0.0201210231587,0.195167297723,0.535536338032,0.24004336991,16.7404188124,0,0,0,0,0.349795679573,0,0,0.169755265762,1.1001836395,0.0356202725248,0.0356202725248,0,0.0554867964082,0.677579708473,1.47584112614,0,0,0.385320094636,0.349795679573,0.385415952098,0.215660686336,0.427664305803,0.748528048501,0.673194461546,0.233313111825,2.33239877098,1.59811282915,0.958201093337,2.20597049527,0.00271194613329,0,1,26.7508987876,1.02617979948,2.22044604925e-16,-5.486035917e-17,-1.37150897925e-16,1.33226762955e-15,0,B10: capital-tilted tax and universal transfer,ok,central,B10,0.0217081615815
50,0.80173479641,6.48099859857,6.48099859857,6.56401404907,15.9381260684,2.45920838063,0.020494251508,0.195167297723,0.535536338032,0.231215613168,16.1971717604,0.296692477446,0.296692477446,0.171411001583,0,0.18746087625,0.171411001583,1.05852118576,0.0190916244873,0.123732791546,0.0472125603587,0.0333220978291,0.0138904625296,0.0555337500976,0.633355370759,1.57889242938,0.0401475680206,0.0231494871306,0.243840639146,0.18746087625,0.234673436609,0.215581812122,0.471063037895,0.594891248452,0.545525867699,0.18209932205,2.03241269531,1.61007208102,0.912449664856,1.8910892703,0.000683711622896,0,0.703307522554,23.6124468693,1.01280905238,0,2.02009116855e-16,-5.57266529256e-17,1.11022302463e-15,0,B13: usownership and targeted income protection,ok,central,B13,0.0207908540245
50,0.80173479641,6.48099859857,6.48099859857,6.65063417207,16.0486126946,2.47625615875,0.0201282358168,0.195167297723,0.535536338032,0.24004336991,16.7402151517,0,0,0,0,0.250118697084,0,0,0.0707360004124,0.458439919541,0.0362764648691,0.0362764648691,0,0.0555167483442,0.689709274806,1.44988625864,0,0,0.329122330381,0.250118697084,0.286395161953,0.21565916154,0.51243250778,0.768232421501,0.697948029192,0.243997544477,1.61280626261,1.59763483478,0.792728829399,1.54411395978,0.00142379089704,0,1,26.7485955298,1.02617429566,0,-1.106860059e-16,-2.76715014751e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,high_investment_penalty,B0,0.0213022866675
50,0.80173479641,6.48099859857,6.48099859857,6.65067501381,16.215309252,2.50197697244,0.0201187310913,0.195167297723,0.535536338032,0.24004336991,16.7404483395,0,0,0,0,0.370401464583,0,0,0.190278127991,1.23319228085,0.0355378343038,0.0355378343038,0,0.0555335393873,0.67547245212,1.4804452748,0,0,0.487398161838,0.370401464583,0.405939298886,0.215661170896,0.444891132662,0.753777717856,0.679899634683,0.236212051161,2.18294542432,1.59543938576,0.928054853979,2.0744089268,0.00214069725563,0,1,26.7512370779,1.02618059743,0,-1.09548132064e-16,-2.7387033016e-17,1.33226762955e-15,0,B2: universal transfer + residual tax,ok,high_investment_penalty,B2,0.0216735344638
50,0.80173479641,6.17947176968,6.17947176968,6.17947176968,14.4491967152,2.33825758151,0.0199883028061,0.195167297723,0.535536338032,0.195904586197,13.867413113,0.296692477446,0.296692477446,0.18205371741,0,0.277945425757,0.18205371741,1.07400460049,0.0935181288637,0.577892637266,0.0312614510995,0.0312614510995,0,0.0443674060917,0.735865435269,1.35894411134,0,0,0.345662244786,0.277945425757,0.309206876857,0.215688747993,0.437757134246,0.585486274061,0.534185655196,0.177853615625,2.32307572752,1.5333168494,0.970539249708,2.21309763722,0.00322610719746,0,0.703307522554,24.4579236763,1,0,1.22938103371e-16,3.07345258428e-17,2.22044604925e-16,0,B5: usownership + residual tax,ok,high_investment_penalty,B5,0.0212044940986
50,0.80173479641,6.17947995373,6.17947995373,6.17947995373,14.4557562352,2.33931598508,0.0199986923625,0.195167297723,0.535536338032,0.195904586197,13.8674565908,0.296692477446,0.296692477446,0.18205371741,0,0.261218485926,0.18205371741,1.07450742272,0.0887027746491,0.548137017784,0.0431708397426,0.0285068021937,0.0146640375488,0.044412103022,0.670376928893,1.49169811326,0.04,0.0228458015709,0.324860061931,0.261218485926,0.304389325669,0.215686551019,0.443153283904,0.58625384162,0.535167481095,0.178266854669,2.34895564867,1.53390796484,0.972994016937,2.22337758537,0.00335413846796,0,0.703307522554,24.4583346925,1,0,-1.53602897913e-17,-9.21617387477e-17,7.77156117238e-16,0,B6: SSM hybrid,ok,high_investment_penalty,B6,0.021227349657
