year,calendar_year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,experiment,max_inflation,peak_mvi,mean_tax_gdp,price_band,sunset,max_accounting_error,controller_bound_years
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56406064482,16.0123742163,2.47066466267,0.0202719952786,0.195167297723,0.535536338032,0.231215613168,16.1974326399,0.296692477446,0.296692477446,0.171411001583,0,0.271269050237,0.171411001583,1.0585189685,0.101641134962,0.658736053246,0.0460008592262,0.0328913461678,0.0131095130584,0.0552989918265,0.627682409827,1.59316237693,0.0400514702954,0.0220405346674,0.352854525773,0.271269050237,0.317269909463,0.215628774501,0.424776937224,0.584163131483,0.5345054497,0.178091319844,2.41526495339,1.60689575548,0.984621262426,2.2625632195,0.00302078031452,0,0.703307522554,23.6154166158,1.01281624197,0,-1.45604163394e-16,-5.54682527215e-17,9.99200722163e-16,0,B6: SSM hybrid,ok,baseline,0.0212580624138,0.151878218565,0.291861428202,True,False,4.42932007132e-16,0
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56395885487,15.863181911,2.44764470626,0.0210703031568,0.195167297723,0.535536338032,0.231215613168,16.1968627437,0.296692477446,0.296692477446,0.171411001583,0,0.167407913984,0.171411001583,1.06596683305,0,0,0.0480522745261,0.0336283297989,0.0144239447272,0.0553379512788,0.641318513873,1.55928759012,0.0403221508468,0.0237356881931,0.217756651736,0.167407913984,0.21546018851,0.21546018851,0.516084591534,0.60386458963,0.54811179112,0.182698275138,2.1135868448,1.1145479702,0.841307884891,1.97081755875,0.00171046498641,0,0.703307522554,23.6089253893,1.01280053607,0,-6.9987410524e-17,5.59899284192e-17,6.66133814775e-16,0,B6: SSM hybrid,ok,low_relative_floor,0.0210738361561,0.0288049767575,0.173836461895,True,True,4.13039002051e-16,0
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56419831018,16.4771888923,2.54238427021,0.0201850821418,0.195167297723,0.535536338032,0.231215613168,16.1982034149,0.296692477446,0.296692477446,0.171411001583,0,0.479818588808,0.171411001583,1.06102274265,0.306316319208,1.98523563551,0.0421448750719,0.0312962872795,0.0108485877924,0.0553456177159,0.596766302271,1.6756978338,0.0400424760262,0.0191850805609,0.624126344169,0.479818588808,0.52196346388,0.215647144671,0.245684944587,0.549019930336,0.508527587701,0.168645711379,3.01184522611,2.55232729505,1.16175660503,2.83021629849,0.00263649755159,0,0.703307522554,23.6242713225,1.01283748335,0,-1.347587907e-17,-2.69517581399e-17,2.22044604925e-16,0,B6: SSM hybrid,ok,high_relative_floor,0.0210744618813,0.348714850704,0.49340974158,True,False,3.37198268757e-16,0
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56404947225,15.6350399632,2.41244304028,0.0210721876525,0.195167297723,0.535536338032,0.231215613168,16.1973700869,0.296692477446,0.296692477446,0.171411001583,0,0.167312188894,0.171411001583,1.06471797909,0,0,0.0481476019611,0.0337281630736,0.0144194388874,0.0555271188566,0.641146011652,1.55970712104,0.0403237075869,0.023738912054,0.217632136865,0.167312188894,0.215459790856,0.215459790856,0.516644056058,0.604514907662,0.548364343958,0.182718358555,2.11322056914,1.11072603928,0.840181477597,1.97037444097,0,0,0.703307522554,23.6147178845,1.01281451807,0,2.69832856425e-16,-8.52103757131e-17,1.11022302463e-15,0,B6: SSM hybrid,ok,fixed_real_floor,0.0210910511042,0.126775649301,0.176886563084,True,True,3.4109401429e-16,0
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56405484648,16.0062183877,2.46971483549,0.0202589559027,0.195167297723,0.535536338032,0.231215613168,16.1974001761,0.296692477446,0.296692477446,0.171411001583,0,0.285329182097,0.171411001583,1.05784265739,0.105694037906,0.685002911549,0.0359963861447,0.0359963861447,0,0.0553173129071,0.686721886952,1.4561935756,0,0,0.37114331012,0.285329182097,0.321325568242,0.215631530336,0.419788065213,0.583237114048,0.533433223246,0.177655537015,2.3917945521,1.60637220586,0.982151649917,2.25342306865,0.00291527932206,0,0.703307522554,23.6150236181,1.0128153473,0,5.54895852466e-17,1.6646875574e-16,6.66133814775e-16,0,B6: SSM hybrid,ok,no_demurrage,0.0212451432752,0.154480112184,0.30342908467,True,False,3.48990560409e-16,0
50,2077,0.80173479641,6.48099859857,6.48099859857,6.564055407,15.9944652191,2.46790135437,0.0202804241902,0.195167297723,0.535536338032,0.231215613168,16.1974033145,0.296692477446,0.296692477446,0.171411001583,0,0.261884232396,0.171411001583,1.05952157528,0.0990454985665,0.641913737404,0.0527882592831,0.03056706671,0.0222211925731,0.0550962000413,0.585361529614,1.70834595273,0.0400530179354,0.0400530179354,0.340647178691,0.261884232396,0.314672491679,0.215626993113,0.428090774702,0.586536265482,0.537036589442,0.179203738298,2.43106237203,1.60723136675,0.975293968729,2.23921182733,0.0035961773191,0,0.703307522554,23.6151098727,1.01281543379,2.22044604925e-16,-7.28835981629e-17,-1.1106072101e-16,7.77156117238e-16,0,B6: SSM hybrid,ok,flat_demurrage,0.0212920928458,0.149956564374,0.283617023926,True,False,3.31364983094e-16,0
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56411068505,16.0448980167,2.47568299432,0.020284766739,0.195167297723,0.535536338032,0.231215613168,16.1977128076,0.296692477446,0.296692477446,0.171411001583,0,0.256134642022,0.171411001583,1.05971173523,0.097252210071,0.630291437178,0.0567436434073,0.0291137542825,0.0276298891248,0.0554357436889,0.554293942102,1.80409693133,0.10005421278,0.052610303598,0.333168371275,0.256134642022,0.312878285429,0.215626075359,0.429966448466,0.585434497738,0.536022108187,0.178699948853,2.44040538864,1.60746433486,0.988132433201,2.27518774573,0.00310653556949,0,0.703307522554,23.6186427142,1.01282396304,0,-4.15168618761e-17,-8.30337237522e-17,4.4408920985e-16,0,B6: SSM hybrid,ok,higher_levy,0.0212733351025,0.150514727676,0.279534801228,True,False,5.31286877294e-16,0
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56420627621,25.3995425419,3.91907854254,0.0203077951573,0.195167297723,0.535536338032,0.231215613168,16.1982480167,0.296692477446,0.296692477446,0.171411001583,0,0.233590254175,0.171411001583,1.06014007733,0.0907088878705,0.587884175167,0.0727398423585,0.020059610452,0.0526802319066,0.0561045964925,0.377599129601,2.64831118932,0.33,0.147341004519,0.303843650022,0.233590254175,0.306330096533,0.215621208663,0.437254392054,0.589022612165,0.540485919872,0.180541608148,2.47844367923,1.60831101824,1.00003588416,2.31871765475,0.00319012646708,0,0.703307522554,23.6247848849,1.01283871249,0,3.49682841033e-17,0,2.22044604925e-16,0,B6: SSM hybrid,ok,historical_33pct_levy,0.344424687265,0.144968550699,0.256653127699,False,False,2.8592948335e-16,0
50,2077,0.80173479641,6.48099859857,6.48099859857,6.5639579402,16.279288699,2.51184882259,0.0203126199459,0.195167297723,0.535536338032,0.231215613168,16.1968576224,0.296692477446,0.296692477446,0.171411001583,0,0.315795834944,0.171411001583,1.05718096026,0.114322327568,0.740922844753,0.0141466816711,0.0113272305947,0.00281945107637,0.0552675933509,0.216279715549,4.62364210837,0.0400672223167,0.0137566084012,0.41077295579,0.315795834944,0.329942516615,0.215620189047,0.408247617813,0.594850733292,0.547321649083,0.183906896967,2.34082219804,1.60519956549,0.995773028724,2.29700623041,0.0027577121291,0,0.703307522554,23.6087918704,1.01280039493,0,3.75091734555e-17,2.72793988767e-17,7.77156117238e-16,0,B6: SSM hybrid,ok,low_money_demand,0.0213496730465,0.159937836256,0.336029387798,True,False,2.93676475075e-16,0
50,2077,0.80173479641,6.48099859857,6.48099859857,6.56412371613,15.8523557173,2.44597425477,0.0202486840014,0.195167297723,0.535536338032,0.231215613168,16.197785767,0.296692477446,0.296692477446,0.171411001583,0,0.225056641595,0.171411001583,1.06246301342,0.0885572292992,0.573939278981,0.0791342890258,0.0540849544749,0.0250493345509,0.0553364267938,1.03146924921,0.969490850811,0.0400452159074,0.0256289513612,0.29274351229,0.225056641595,0.304190930621,0.215633701322,0.440145468024,0.578431908255,0.526189557317,0.174341639175,2.49335932447,1.60862813455,0.973315595861,2.23848274219,0.00341149039088,0,0.703307522554,23.6194626753,1.0128259737,0,1.19059853029e-16,8.40422491968e-17,1.11022302463e-15,0,B6: SSM hybrid,ok,high_money_demand,0.021122692929,0.143490580468,0.246398618945,True,False,3.944627224e-16,0
