annual_issuance,year,user_share,required_total_value_growth_for_legacy_wealth,legacy_pv_loss
0.005,10,0.0486520593039,0.0511401320408,0.0974729241877
0.005,25,0.117228190158,0.132795575086,0.0974729241877
0.005,50,0.220713931748,0.283225814935,0.0974729241877
0.01,10,0.094713045307,0.104622125411,0.177631578947
0.01,25,0.220231557006,0.282431995017,0.177631578947
0.01,50,0.391961175311,0.644631821844,0.177631578947
0.02,10,0.179651700125,0.218994419995,0.301675977654
0.02,25,0.390469129472,0.640605994465,0.301675977654
0.02,50,0.628472117873,1.69158802907,0.301675977654
