year,calendar_year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,scenario,code
11,2038,0.030803864069,1.19582995896,1.19582995896,1.19582995896,1.32239702398,1.10584035303,0.0199253459343,0.565214145247,0.982154603277,0.220770096602,3.52896952207,0,0,0,0,0.208467008135,0,0,0.0163782317447,0.0195855801951,0.0236132854094,0.0236132854094,0,0.0335118056538,0.728239161236,1.37317526059,0,0,0.26752952784,0.208467008135,0.232080293545,0.2157020618,0.392279379301,0.73799374978,0.655640076728,0.224867923158,0.480411888933,0.297194851712,-0.637037328248,0.467081486923,0.000326341933306,0,1,2.08353542206,1,0,1.25933022136e-16,-8.39553480907e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
12,2039,0.0349275174422,1.21724082862,1.21724082862,1.21724082862,1.37302078389,1.12797792483,0.0200187773414,0.563234791628,0.979765674725,0.220873187936,3.58608721305,0,0,0,0,0.207674039347,0,0,0.0164265049263,0.0199950124679,0.0244347695591,0.0244347695591,0,0.0348376993004,0.725823496419,1.37774542287,0,0,0.2665471604,0.207674039347,0.232108808906,0.21568230398,0.393252574946,0.738297717136,0.655965915525,0.22500577424,0.489930397767,0.302507556075,-0.620591090956,0.475832677947,0.000328838544617,0,1,2.26785285163,1,0,-1.61719769671e-16,-4.04299424179e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
13,2040,0.0393263230004,1.23924098275,1.23924098275,1.23924098275,1.42589932396,1.15062311835,0.0200759190572,0.56112336496,0.977217344096,0.220983158075,3.64477336625,0,0,0,0,0.207075110657,0,0,0.0164972168879,0.0204440272688,0.0250923283096,0.0250923283096,0,0.0359022519135,0.723999136997,1.38121711601,0,0,0.265815961238,0.207075110657,0.232167438966,0.215670222079,0.394241893021,0.738567109887,0.65626435278,0.225135798489,0.499566326795,0.307967805838,-0.604029088346,0.48371416665,0.00033119679091,0,1,2.4517250529,1,0,-3.89306245528e-17,-3.89306245528e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
14,2041,0.0440132465984,1.26185522528,1.26185522528,1.26185522528,1.48112126846,1.17376481769,0.0201123191196,0.558873641633,0.974502099969,0.221100331165,3.70508357247,0,0,0,0,0.206635945481,0,0,0.0165901774872,0.0209344021505,0.0256167584524,0.0256167584524,0,0.0367525840881,0.722622400043,1.38384860467,0,0,0.265292121371,0.206635945481,0.232252703933,0.215662526446,0.395254057736,0.738814988675,0.656546525204,0.225261352244,0.508600950697,0.313578807451,-0.58736335079,0.491182075393,0.000333666943872,0,1,2.63527845642,1,0,-7.49582798026e-17,-1.12437419704e-16,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
15,2042,0.0490010437402,1.2851095872,1.2851095872,1.2851095872,1.53878996025,1.19739979809,0.020136044327,0.556479499005,0.971612552782,0.221225026094,3.76707696008,0,0,0,0,0.206321130246,0,0,0.0167005031511,0.0214619767106,0.0260368837084,0.0260368837084,0,0.037434006319,0.72157781744,1.38585191483,0,0,0.264930354927,0.206321130246,0.232358013954,0.215657510803,0.396302670588,0.739052139045,0.656827663452,0.225385646197,0.51664573183,0.319335750719,-0.570605396442,0.498741235579,0.000336282071734,0,1,2.8186417559,1,0,2.164472839e-16,3.60745473167e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
16,2043,0.0543021113941,1.30903131583,1.30903131583,1.30903131583,1.59902180801,1.22153059952,0.0201526686959,0.553934986531,0.968541520683,0.221357552785,3.83081631107,0,0,0,0,0.206101544286,0,0,0.016826514807,0.0220264348186,0.0263789669778,0.0263789669778,0,0.0379882819926,0.720776438887,1.38739274212,0,0,0.264693435379,0.206101544286,0.232480511263,0.215653996456,0.397396963763,0.739286697657,0.65711520033,0.225511423277,0.524717489715,0.325256202261,-0.553761330958,0.506388526985,0.000339099178212,0,1,3.00194575205,1,0,0,-6.94313873057e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
17,2044,0.0599283224886,1.33364884901,1.33364884901,1.33364884901,1.66194541446,1.2461641726,0.0201661530957,0.551234405205,0.965282125407,0.221498208062,3.89636816264,0,0,0,0,0.2059579014,0,0,0.0169697634652,0.0226317055133,0.0266630080404,0.0266630080404,0,0.0384477500928,0.720149830443,1.38859992425,0,0,0.264556746732,0.2059579014,0.23262090944,0.215651145975,0.398539189067,0.739524433541,0.657410178595,0.225640951544,0.532829263036,0.331346839446,-0.536830846806,0.514121312712,0.000342214848038,0,1,3.18532314438,1,0,-1.67006541696e-16,3.34013083391e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
18,2045,0.0658908434629,1.35899177234,1.35899177234,1.35899177234,1.72769891118,1.27130932383,0.0201780405706,0.548372395138,0.961827897976,0.221647271087,3.96380289065,0,0,0,0,0.205873537031,0,0,0.0171289105941,0.0232780485665,0.0269040066951,0.0269040066951,0,0.0388369757256,0.719646069959,1.38957196009,0,0,0.264499023878,0.205873537031,0.232777543726,0.215648633132,0.399736255466,0.739770057393,0.65771726671,0.225776104899,0.540835610959,0.337614812275,-0.519815057,0.521938504476,0.000345627852899,0,1,3.36890826647,1,0,6.42602144065e-17,3.21301072032e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
19,2046,0.0721999358085,1.38509075722,1.38509075722,1.38509075722,1.79643140383,1.29697739622,0.0201902651913,0.545344030812,0.958172893668,0.221804998395,4.0331947704,0,0,0,0,0.205839095564,0,0,0.0173074790446,0.0239724292555,0.0271144325626,0.0271144325626,0,0.0391763653402,0.719226432416,1.39038271527,0,0,0.264508375329,0.205839095564,0.232953528126,0.215646049082,0.400986690673,0.74002660922,0.658039963496,0.225918340246,0.548820404792,0.344067667918,-0.502709226155,0.529837416789,0.000349442591705,0,1,3.55283676041,1,0,-3.09007909308e-17,3.09007909308e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
20,2047,0.0788647431796,1.41197747789,1.41197747789,1.41197747789,1.8682984399,1.3231786407,0.020201774183,0.542144923274,0.954311815352,0.221971618579,4.10462201034,0,0,0,0,0.20584188755,0,0,0.0175006218653,0.0247104839229,0.027302350674,0.027302350674,0,0.0394793517832,0.718862607893,1.39108640374,0,0,0.264568610176,0.20584188755,0.233144238224,0.215643616358,0.402302202754,0.740297104296,0.658381242625,0.226068876881,0.557486456508,0.350713435396,-0.485518076463,0.538436978178,0.000353543610984,0,1,3.7372451866,1,0,2.9712143438e-17,5.9424286876e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
21,2048,0.0858930663843,1.43968450559,1.43968450559,1.43968450559,1.94346493879,1.34992418911,0.0202131047089,0.538771328136,0.950240143837,0.22214732666,4.17816675387,0,0,0,0,0.205873311412,0,0,0.0177082525267,0.0254942967838,0.0274761625265,0.0274761625265,0,0.039759475033,0.718535652214,1.39171939057,0,0,0.264668771437,0.205873311412,0.233349473939,0.215641221412,0.403686503211,0.74058366262,0.65874323452,0.226228604446,0.566261810931,0.357559683758,-0.468243604547,0.546888996387,0.000357938762534,0,1,3.92227056565,1,0,-2.85629805422e-17,0,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
22,2049,0.0932911293683,1.46824517845,1.46824517845,1.46824517845,2.02210507968,1.37722575858,0.0202245205217,0.535220257903,0.945954273446,0.222332278234,4.25391504417,0,0,0,0,0.205928825481,0,0,0.0179300374583,0.0263256910476,0.0276400204701,0.0276400204701,0,0.0400236828588,0.718231652619,1.39230845139,0,0,0.264803102555,0.205928825481,0.233568845951,0.215638808492,0.405142280516,0.740888059484,0.659127623203,0.226398233488,0.575215494628,0.364616931873,-0.450887626282,0.55581956752,0.00036262641053,0,1,4.1080498499,1,0,-2.1961727623e-16,5.49043190576e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
23,2050,0.101063340149,1.49769344599,1.49769344599,1.49769344599,2.10440202925,1.40509530497,0.0202360043134,0.531489596729,0.941451650513,0.222526583504,4.33195674719,0,0,0,0,0.206005046977,0,0,0.0181655434211,0.0272064153247,0.0277968777026,0.0277968777026,0,0.0402769399407,0.717940611152,1.39287287063,0,0,0.264967319276,0.206005046977,0.23380192468,0.215636381259,0.406672666995,0.741211587111,0.659535723378,0.226578321798,0.584334455135,0.371943296156,-0.433452381553,0.565163097648,0.000367598015024,0,1,4.29471932327,1,0,1.31892933146e-16,5.27571732584e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
24,2051,0.10921205152,1.52806368768,1.52806368768,1.52806368768,2.19054749396,1.43354463012,0.0202472565757,0.52757821527,0.936730912008,0.222730301288,4.4123854279,0,0,0,0,0.206098499674,0,0,0.0184133627946,0.0281367910544,0.0279488661348,0.0279488661348,0,0.0405228176182,0.717655746791,1.39342575388,0,0,0.265156997649,0.206098499674,0.234047365809,0.215634003015,0.408279603936,0.741555343729,0.659968560652,0.226769299054,0.595755216803,0.379501401507,-0.415941819542,0.574640154542,0.000372820080923,0,1,4.48241392931,1,0,-5.06824448082e-17,-5.06824448082e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
25,2052,0.117737327191,1.55939050564,1.55939050564,1.55939050564,2.2807451704,1.46258757005,0.0202595296415,0.523486082948,0.931792021024,0.22294343318,4.49529817522,0,0,0,0,0.206212693228,0,0,0.0186787915876,0.0291275302586,0.0280975074353,0.0280975074353,0,0.0407638991151,0.717371792901,1.39397730702,0,0,0.265376681742,0.206212693228,0.234310200664,0.215631409076,0.409956549639,0.741919345116,0.660426650251,0.226971421339,0.606157871473,0.387299717227,-0.398351847974,0.583198238474,0.000378423531836,0,1,4.67126652894,1,0,0,2.43390414464e-17,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
26,2053,0.126636719776,1.59170849238,1.59170849238,1.59170849238,2.37521172052,1.49224040199,0.0202742266858,0.519214374507,0.926636395389,0.223165917994,4.58079537159,0,0,0,0,0.206357686232,0,0,0.0189713753155,0.0301968992017,0.0282419919907,0.0282419919907,0,0.0409993142732,0.717082585825,1.39453951298,0,0,0.265639331502,0.206357686232,0.234599678222,0.215628302907,0.411689867509,0.742302720496,0.660910108747,0.227184825184,0.615652060116,0.395321804171,-0.380669846507,0.593318873728,0.000384629963687,0,1,4.86140709122,1,0,1.40226197315e-16,0,1.33226762955e-15,0,B0: targeted tax-transfer comparator,ok,slow,B0
