year,automation,real_gdp,capacity,raw_capacity,nominal_gdp,price_level,inflation,labour_share,labour_demand_proxy,investment_share,capital_stock,usownership_share,shadow_participation_share,participant_income_gdp,pass_through_levy_gdp,total_recorded_tax_gdp,use_dividend_gdp,median_use_dividend,mvi_gdp,mvi_real_resident_equivalent,fiscal_issuance_gdp,net_seigniorage_gdp,burn_gdp,money_growth,money_gdp,velocity,demurrage_rate,effective_demurrage,tax_rate,tax_gdp,public_expenditure_gdp,government_consumption_gdp,gini_income,gini_wealth,top10_wealth,top1_wealth,median_income,p10_income,mean_log_consumption,median_consumption,coverage_shortfall,secondary_sales_gdp,legacy_capital_share,ordinary_discounted_dividends,resource_pressure_proxy,output_gap,accounting_residual,goods_residual,equity_residual,controller_at_bound,policy,status,scenario,code,calendar_year,gdp_2025_eur_trillion,gdp_nominal_eur_trillion,mvi_real_eur_resident_year,mvi_nominal_eur_resident_year
82,0.886899999613,19.2667609834,19.2667609834,28.8319516902,1.99388783901e+14,1.03488481573e+13,0.540700412898,0.154288000186,0.486198149982,0.24217249999,50.8320593461,0,0,0,0,0.227348250003,0,0,0.121230839474,2.33572560796,0.0366747884983,0.0366747884983,0,0.594619626313,0.0983525180506,10.1675078566,0,0,0.3,0.227348250003,0.264023038501,0.142792199027,0.563409074259,0.807114508948,0.726889450473,0.25527094165,5.82943805343,3.55376244522,1.94065730885,5.5684913329,0.0179213830102,0,1,65.1979419601,1.49646075513,0,-4.8977805115e-17,-3.9182244092e-17,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2109,362.728276668,3.75381985759e+15,97287.286463,1.00681135524e+18
83,0.886899999713,19.9410976176,19.9410976176,29.5237882844,3.17950392004e+14,1.59444779872e+13,0.540700737399,0.154288000138,0.486198149924,0.242172499993,52.6113212479,0,0,0,0,0.227348250002,0,0,0.121230813948,2.4174754952,0.0366747328987,0.0366747328987,0,0.594620826797,0.0983522444251,10.1675361436,0,0,0.3,0.227348250002,0.264022982901,0.142792168953,0.563409096355,0.80711454766,0.726889484319,0.255270956905,6.03346787579,3.6781436215,1.97505872546,5.76338850738,0.0179213917585,0,1,66.233000964,1.48054980977,0,0,1.72000102454e-16,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2110,375.423766346,5.98593597837e+15,100692.320287,1.60548648429e+18
84,0.886899999787,20.639036034,20.639036034,30.2322224631,5.07011816897e+14,2.45656733222e+13,0.540701008963,0.154288000102,0.48619814988,0.242172499995,54.4528489269,0,0,0,0,0.227348250002,0,0,0.121230792586,2.50208669662,0.0366746863685,0.0366746863685,0,0.594621831487,0.0983520154312,10.1675598168,0,0,0.3,0.227348250002,0.26402293637,0.142792143784,0.563409114844,0.80711458143,0.726889513878,0.255270970271,6.24463881016,3.80687820713,2.00946014372,5.96510708599,0.0179213990794,0,1,67.2730845262,1.46480787249,0,-6.93400998327e-17,-6.16356442957e-17,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2111,388.563598164,9.54532641741e+15,104216.533132,2.56014930769e+18
85,0.886899999842,21.361402295,21.361402295,30.9576526487,8.08494113726e+14,3.78483632563e+13,0.540701236224,0.154288000076,0.486198149849,0.242172499996,56.3588221885,0,0,0,0,0.227348250001,0,0,0.121230774708,2.58965934908,0.0366746474285,0.0366746474285,0,0.59462267231,0.0983518237897,10.1675796286,0,0,0.3,0.227348250001,0.26402289743,0.142792122721,0.563409130316,0.807114610937,0.726889539735,0.255270982002,6.46320078632,3.94011856231,2.04386156336,6.17388581747,0.0179214052057,0,1,68.3182170378,1.44923316462,0,-1.73934475975e-16,-3.86521057723e-17,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2112,402.163324097,1.52212235788e+16,107864.095884,4.08247948332e+18
86,0.886899999883,22.1090513753,22.1090513753,31.7004868108,1.28924571545e+15,5.83130272562e+13,0.540701426411,0.154288000056,0.486198149825,0.242172499997,58.3314971013,0,0,0,0,0.227348250001,0,0,0.121230759747,2.6802970955,0.0366746148405,0.0366746148405,0,0.594623375989,0.0983516634085,10.1675962088,0,0,0.3,0.227348250001,0.264022864841,0.142792105095,0.563409143262,0.807114636763,0.726889562392,0.255270992313,6.68941248282,4.07802238107,2.07826298416,6.38997180679,0.0179214103325,0,1,69.3684230083,1.43382392454,0,-1.21194895687e-17,-7.27169374125e-17,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2113,416.239040438,2.42721585102e+16,111639.325461,6.51002702849e+18
87,0.886899999914,22.8828681733,22.8828681733,32.4611426966,2.05586492011e+15,8.98429735532e+13,0.540701585572,0.154288000041,0.486198149807,0.242172499998,60.3732086679,0,0,0,0,0.227348250001,0,0,0.121230747225,2.77410720731,0.0366745875686,0.0366745875686,0,0.59462396489,0.098351529189,10.1676100844,0,0,0.3,0.227348250001,0.264022837569,0.142792090344,0.563409154095,0.807114659404,0.726889582277,0.255271001391,6.92354163302,4.22075287779,2.11266440593,6.61362080768,0.0179214146227,0,1,70.423727066,1.41857840769,0,-1.14003112611e-16,6.0801660059e-17,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2114,430.807406852,3.87050184603e+16,115546.689918,1.03810582064e+19
88,0.886899999936,23.6837685593,23.6837685593,33.2400480661,3.27833622752e+15,1.38421223772e+14,0.540701718767,0.154288000031,0.486198149794,0.242172499998,62.4863735892,0,0,0,0,0.22734825,0,0,0.121230736747,2.87120071138,0.0366745647456,0.0366745647456,0,0.594624457733,0.098351416864,10.1676216966,0,0,0.3,0.22734825,0.264022814746,0.142792077999,0.563409163161,0.807114679286,0.726889599758,0.255271009397,7.16586534187,4.36847898026,2.1470658285,6.84509752527,0.017921418213,0,1,71.4841539589,1.4034948865,0,-1.14387290984e-16,-5.71936454919e-17,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2115,445.88566609,6.17200395628e+16,119590.813728,1.65539067881e+19
89,0.886899999953,24.5127004588,24.5127004588,34.0376409332,5.22772147775e+15,2.13265832809e+14,0.540701830232,0.154288000023,0.486198149785,0.242172499999,64.6734931257,0,0,0,0,0.22734825,0,0,0.121230727977,2.97169252131,0.0366745456457,0.0366745456457,0,0.594624870183,0.0983513228622,10.1676314146,0,0,0.3,0.22734825,0.264022795646,0.142792067669,0.563409170747,0.807114696772,0.726889615149,0.255271016467,7.41667041377,4.52137552954,2.18146725176,7.08467592943,0.0179214212175,0,1,72.5497285552,1.38857165046,0,7.17329723085e-17,0,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2116,461.491664402,9.84204041433e+16,123776.483254,2.63972947834e+19
90,0.886899999965,25.3706449748,25.3706449748,34.8543698124,8.33626315512e+15,3.28579078829e+14,0.540701923513,0.154288000017,0.486198149778,0.242172499999,66.9371560583,0,0,0,0,0.22734825,0,0,0.121230720638,3.07570157336,0.0366745296616,0.0366745296616,0,0.594625215354,0.0983512441948,10.1676395473,0,0,0.3,0.22734825,0.264022779662,0.142792059024,0.563409177095,0.807114712175,0.726889628722,0.25527102272,7.67625369198,4.67962348684,2.21586867558,7.33263957897,0.0179214237317,0,1,73.6204758438,1.37380700597,0,-1.49947281742e-17,2.99894563485e-17,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2117,477.643872656,1.56943783685e+17,128108.652413,4.20938229998e+19
91,0.886899999974,26.2586175489,26.2586175489,35.6906939713,1.32932267353e+16,5.06242444428e+14,0.540702001576,0.154288000012,0.486198149772,0.242172499999,69.2800417531,0,0,0,0,0.22734825,0,0,0.121230714497,3.18335096715,0.0366745162851,0.0366745162851,0,0.594625504219,0.0983511783605,10.1676463533,0,0,0.3,0.22734825,0.264022766285,0.142792051789,0.563409182407,0.807114725766,0.72688964071,0.255271028258,7.94492240987,4.84341014757,2.25027009987,7.58928195733,0.0179214258358,0,1,74.6964209347,1.35919927638,0,-1.50452560528e-16,-1.8806570066e-17,1.33226762955e-15,0,B3: fiscal-dominant monetary transfer,nominal_collapse,fast,B3,2118,494.361408198,2.50266727717e+17,132592.44853,6.71239252563e+19
